Variation,a,b,t,Start,Stop,Elapsed,Analysis Machine
1,1mm,0mm,0.5mm,20:06:17:420,20:06:17:421,00:00:00:001,
2,1mm,0mm,0.6mm,20:06:17:480,20:06:17:480,00:00:00:000,
3,1mm,0mm,0.7mm,20:06:17:544,20:06:17:545,00:00:00:001,
4,1mm,0mm,0.8mm,20:06:17:597,20:06:17:597,00:00:00:000,
5,1mm,0mm,0.9mm,20:06:17:640,20:06:17:640,00:00:00:000,
6,1mm,0mm,1mm,20:06:17:686,20:06:17:686,00:00:00:000,
7,1mm,0mm,1.1mm,20:06:17:748,20:06:17:748,00:00:00:000,
8,1mm,0mm,1.2mm,20:06:17:787,20:06:17:787,00:00:00:000,
9,1mm,0mm,1.3mm,20:06:17:843,20:06:17:843,00:00:00:000,
10,1mm,0mm,1.4mm,20:06:17:897,20:06:17:897,00:00:00:000,
11,1mm,0mm,1.5mm,20:06:17:938,20:06:17:938,00:00:00:000,
