source_file,layer,experiment,variation,T_mm,a_mm,g_mm,IntH2_total
result_2ceng_agmatrix.csv,2,agmatrix,1,1.2,0.5,0.2,2.3019731e-17
result_2ceng_agmatrix.csv,2,agmatrix,2,1.5,0.5,0.5,2.3254273e-17
result_2ceng_agmatrix.csv,2,agmatrix,3,2.0,0.5,1.0,2.3373486e-17
result_2ceng_agmatrix.csv,2,agmatrix,4,2.5,0.5,1.5,2.3523894e-17
result_2ceng_agmatrix.csv,2,agmatrix,5,2.2,1.0,0.2,1.3426123e-17
result_2ceng_agmatrix.csv,2,agmatrix,6,2.5,1.0,0.5,1.3427694e-17
result_2ceng_agmatrix.csv,2,agmatrix,7,3.0,1.0,1.0,1.3578801e-17
result_2ceng_agmatrix.csv,2,agmatrix,8,3.5,1.0,1.5,1.3618107e-17
result_2ceng_agmatrix.csv,2,agmatrix,9,3.2,1.5,0.2,9.3875559e-18
result_2ceng_agmatrix.csv,2,agmatrix,10,3.5,1.5,0.5,9.5222597e-18
result_2ceng_agmatrix.csv,2,agmatrix,11,4.0,1.5,1.0,9.6551165e-18
result_2ceng_agmatrix.csv,2,agmatrix,12,4.5,1.5,1.5,9.7463481e-18
result_2ceng_agmatrix.csv,2,agmatrix,13,4.2,2.0,0.2,7.3301256e-18
result_2ceng_agmatrix.csv,2,agmatrix,14,4.5,2.0,0.5,7.4023764e-18
result_2ceng_agmatrix.csv,2,agmatrix,15,5.0,2.0,1.0,7.4243544e-18
result_2ceng_agmatrix.csv,2,agmatrix,16,5.5,2.0,1.5,7.5820466e-18
result_3ceng_agmatrix.csv,3,agmatrix,1,1.9,0.5,0.2,1.7401713e-17
result_3ceng_agmatrix.csv,3,agmatrix,2,2.5,0.5,0.5,1.7494394e-17
result_3ceng_agmatrix.csv,3,agmatrix,3,3.5,0.5,1.0,1.7106427e-17
result_3ceng_agmatrix.csv,3,agmatrix,4,4.5,0.5,1.5,1.7400316e-17
result_3ceng_agmatrix.csv,3,agmatrix,5,3.4,1.0,0.2,1.0122468e-17
result_3ceng_agmatrix.csv,3,agmatrix,6,4.0,1.0,0.5,9.959751e-18
result_3ceng_agmatrix.csv,3,agmatrix,7,5.0,1.0,1.0,1.0261225e-17
result_3ceng_agmatrix.csv,3,agmatrix,8,6.0,1.0,1.5,1.0582984e-17
result_3ceng_agmatrix.csv,3,agmatrix,9,4.9,1.5,0.2,6.7830194e-18
result_3ceng_agmatrix.csv,3,agmatrix,10,5.5,1.5,0.5,6.9242229e-18
result_3ceng_agmatrix.csv,3,agmatrix,11,6.5,1.5,1.0,7.2773417e-18
result_3ceng_agmatrix.csv,3,agmatrix,12,7.5,1.5,1.5,7.7474623e-18
result_3ceng_agmatrix.csv,3,agmatrix,13,6.4,2.0,0.2,5.1997865e-18
result_3ceng_agmatrix.csv,3,agmatrix,14,7.0,2.0,0.5,5.3768843e-18
result_3ceng_agmatrix.csv,3,agmatrix,15,8.0,2.0,1.0,5.6403479e-18
result_3ceng_agmatrix.csv,3,agmatrix,16,9.0,2.0,1.5,5.9454427e-18
result_4ceng_agmatrix.csv,4,agmatrix,1,2.6,0.5,0.2,1.3519516e-17
result_4ceng_agmatrix.csv,4,agmatrix,2,3.5,0.5,0.5,1.37554e-17
result_4ceng_agmatrix.csv,4,agmatrix,3,5.0,0.5,1.0,1.3259271e-17
result_4ceng_agmatrix.csv,4,agmatrix,4,6.5,0.5,1.5,1.3658919e-17
result_4ceng_agmatrix.csv,4,agmatrix,5,4.6,1.0,0.2,7.7558548e-18
result_4ceng_agmatrix.csv,4,agmatrix,6,5.5,1.0,0.5,8.1781612e-18
result_4ceng_agmatrix.csv,4,agmatrix,7,7.0,1.0,1.0,8.1904655e-18
result_4ceng_agmatrix.csv,4,agmatrix,8,8.5,1.0,1.5,8.7242577e-18
result_4ceng_agmatrix.csv,4,agmatrix,9,6.6,1.5,0.2,5.4371263e-18
result_4ceng_agmatrix.csv,4,agmatrix,10,7.5,1.5,0.5,5.5389731e-18
result_4ceng_agmatrix.csv,4,agmatrix,11,9.0,1.5,1.0,5.9522076e-18
result_4ceng_agmatrix.csv,4,agmatrix,12,8.6,2.0,0.2,4.1869268e-18
result_4ceng_agmatrix.csv,4,agmatrix,13,9.5,2.0,0.5,4.332249e-18
