experiment,layer,T_mm,a_mm,g_mm,IntH2_total
asweep,1,0.5,0.5,0.0,3.520028e-17
asweep,1,0.8,0.8,0.0,2.6512512e-17
asweep,1,1.0,1.0,0.0,2.3140335e-17
asweep,1,1.2,1.2,0.0,2.0149579e-17
asweep,1,1.5,1.5,0.0,1.6935238e-17
asweep,1,2.0,2.0,0.0,1.3494501e-17
Tcompare,1,5.0,5.0,0.0,3.0406487e-18
Tcompare,1,8.0,8.0,0.0,3.0406487e-18
Tcompare,1,10.0,10.0,0.0,4.2032584e-19
asweep,2,1.5,0.5,0.5,2.3254273e-17
asweep,2,2.1,0.8,0.5,1.618073e-17
asweep,2,2.5,1.0,0.5,1.3427694e-17
asweep,2,2.9,1.2,0.5,1.1534354e-17
asweep,2,3.5,1.5,0.5,9.5222597e-18
asweep,2,4.5,2.0,0.5,7.4023764e-18
Tcompare,2,5.0,4.75,0.5,3.3078266e-18
Tcompare,2,8.0,4.75,0.5,3.3078266e-18
Tcompare,2,10.0,4.75,0.5,3.3078266e-18
agmatrix,2,1.2,0.5,0.2,2.3019731e-17
agmatrix,2,1.5,0.5,0.5,2.3254273e-17
agmatrix,2,2.0,0.5,1.0,2.3373486e-17
agmatrix,2,2.5,0.5,1.5,2.3523894e-17
agmatrix,2,2.2,1.0,0.2,1.3426123e-17
agmatrix,2,2.5,1.0,0.5,1.3427694e-17
agmatrix,2,3.0,1.0,1.0,1.3578801e-17
agmatrix,2,3.5,1.0,1.5,1.3618107e-17
agmatrix,2,3.2,1.5,0.2,9.3875559e-18
agmatrix,2,3.5,1.5,0.5,9.5222597e-18
agmatrix,2,4.0,1.5,1.0,9.6551165e-18
agmatrix,2,4.5,1.5,1.5,9.7463481e-18
agmatrix,2,4.2,2.0,0.2,7.3301256e-18
agmatrix,2,4.5,2.0,0.5,7.4023764e-18
agmatrix,2,5.0,2.0,1.0,7.4243544e-18
agmatrix,2,5.5,2.0,1.5,7.5820466e-18
asweep,3,2.5,0.5,0.5,1.7494394e-17
asweep,3,3.4,0.8,0.5,1.2217236e-17
asweep,3,4.0,1.0,0.5,9.959751e-18
asweep,3,4.6,1.2,0.5,8.4908362e-18
asweep,3,5.5,1.5,0.5,6.9242229e-18
asweep,3,7.0,2.0,0.5,5.3768843e-18
Tcompare,3,5.0,3.0,0.5,3.6796776e-18
Tcompare,3,8.0,3.0,0.5,3.6796776e-18
Tcompare,3,10.0,3.0,0.5,3.6981286e-18
agmatrix,3,1.9,0.5,0.2,1.7401713e-17
agmatrix,3,2.5,0.5,0.5,1.7494394e-17
agmatrix,3,3.5,0.5,1.0,1.7106427e-17
agmatrix,3,4.5,0.5,1.5,1.7400316e-17
agmatrix,3,3.4,1.0,0.2,1.0122468e-17
agmatrix,3,4.0,1.0,0.5,9.959751e-18
agmatrix,3,5.0,1.0,1.0,1.0261225e-17
agmatrix,3,6.0,1.0,1.5,1.0582984e-17
agmatrix,3,4.9,1.5,0.2,6.7830194e-18
agmatrix,3,5.5,1.5,0.5,6.9242229e-18
agmatrix,3,6.5,1.5,1.0,7.2773417e-18
agmatrix,3,7.5,1.5,1.5,7.7474623e-18
agmatrix,3,6.4,2.0,0.2,5.1997865e-18
agmatrix,3,7.0,2.0,0.5,5.3768843e-18
agmatrix,3,8.0,2.0,1.0,5.6403479e-18
agmatrix,3,9.0,2.0,1.5,5.9454427e-18
asweep,4,3.5,0.5,0.5,1.37554e-17
asweep,4,4.7,0.8,0.5,9.8633553e-18
asweep,4,5.5,1.0,0.5,8.1781612e-18
asweep,4,6.3,1.2,0.5,6.7514254e-18
asweep,4,7.5,1.5,0.5,5.5389731e-18
asweep,4,9.5,2.0,0.5,4.332249e-18
Tcompare,4,10.0,2.125,0.5,4.1236206e-18
Tcompare,4,5.0,2.125,0.5,4.1236206e-18
Tcompare,4,8.0,2.125,0.5,4.1236206e-18
agmatrix,4,2.6,0.5,0.2,1.3519516e-17
agmatrix,4,3.5,0.5,0.5,1.37554e-17
agmatrix,4,5.0,0.5,1.0,1.3259271e-17
agmatrix,4,6.5,0.5,1.5,1.3658919e-17
agmatrix,4,4.6,1.0,0.2,7.7558548e-18
agmatrix,4,5.5,1.0,0.5,8.1781612e-18
agmatrix,4,7.0,1.0,1.0,8.1904655e-18
agmatrix,4,8.5,1.0,1.5,8.7242577e-18
agmatrix,4,6.6,1.5,0.2,5.4371263e-18
agmatrix,4,7.5,1.5,0.5,5.5389731e-18
agmatrix,4,9.0,1.5,1.0,5.9522076e-18
agmatrix,4,8.6,2.0,0.2,4.1869268e-18
agmatrix,4,9.5,2.0,0.5,4.332249e-18
