experiment,layer,T_mm,a_mm,g_mm,IntH2_total,IntH2_L1,IntH2_L2,IntH2_L3,IntH2_L4
asweep,1,0.5,0.5,0.0,3.520028e-17,3.520028e-17,,,
asweep,1,0.8,0.8,0.0,2.6512512e-17,2.6512512e-17,,,
asweep,1,1.0,1.0,0.0,2.3140335e-17,2.3140335e-17,,,
asweep,1,1.2,1.2,0.0,2.0149579e-17,2.0149579e-17,,,
asweep,1,1.5,1.5,0.0,1.6935238e-17,1.6935238e-17,,,
asweep,1,2.0,2.0,0.0,1.3494501e-17,1.3494501e-17,,,
Tcompare,1,5.0,5.0,0.0,3.0406487e-18,3.0406487e-18,,,
Tcompare,1,8.0,8.0,0.0,3.0406487e-18,3.0406487e-18,,,
Tcompare,1,10.0,10.0,0.0,4.2032584e-19,4.2032584e-19,,,
asweep,2,1.5,0.5,0.5,2.3254273e-17,1.2325868e-17,1.0928405e-17,,
asweep,2,2.1,0.8,0.5,1.618073e-17,8.6552346e-18,7.5254953e-18,,
asweep,2,2.5,1.0,0.5,1.3427694e-17,7.311195e-18,6.1164989e-18,,
asweep,2,2.9,1.2,0.5,1.1534354e-17,6.3545648e-18,5.1797897e-18,,
asweep,2,3.5,1.5,0.5,9.5222597e-18,5.3380221e-18,4.1842376e-18,,
asweep,2,4.5,2.0,0.5,7.4023764e-18,4.2805298e-18,3.1218466e-18,,
Tcompare,2,5.0,2.25,0.5,3.3078266e-18,2.2021138e-18,1.1057128e-18,,
Tcompare,2,8.0,3.75,0.5,3.3078266e-18,2.2021138e-18,1.1057128e-18,,
Tcompare,2,10.0,4.75,0.5,3.3078266e-18,2.2021138e-18,1.1057128e-18,,
agmatrix,2,1.2,0.5,0.2,2.3019731e-17,1.1866386e-17,1.1153345e-17,,
agmatrix,2,1.5,0.5,0.5,2.3254273e-17,1.2325868e-17,1.0928405e-17,,
agmatrix,2,2.0,0.5,1.0,2.3373486e-17,1.3024684e-17,1.0348801e-17,,
agmatrix,2,2.5,0.5,1.5,2.3523894e-17,1.3661862e-17,9.862032e-18,,
agmatrix,2,2.2,1.0,0.2,1.3426123e-17,6.9065343e-18,6.5195889e-18,,
agmatrix,2,2.5,1.0,0.5,1.3427694e-17,7.311195e-18,6.1164989e-18,,
agmatrix,2,3.0,1.0,1.0,1.3578801e-17,7.9465089e-18,5.632292e-18,,
agmatrix,2,3.5,1.0,1.5,1.3618107e-17,8.4216351e-18,5.1964718e-18,,
agmatrix,2,3.2,1.5,0.2,9.3875559e-18,4.9383862e-18,4.4491697e-18,,
agmatrix,2,3.5,1.5,0.5,9.5222597e-18,5.3380221e-18,4.1842376e-18,,
agmatrix,2,4.0,1.5,1.0,9.6551165e-18,5.8549525e-18,3.800164e-18,,
agmatrix,2,4.5,1.5,1.5,9.7463481e-18,6.3350216e-18,3.4113264e-18,,
agmatrix,2,4.2,2.0,0.2,7.3301256e-18,3.946464e-18,3.3836615e-18,,
agmatrix,2,4.5,2.0,0.5,7.4023764e-18,4.2805298e-18,3.1218466e-18,,
agmatrix,2,5.0,2.0,1.0,7.4243544e-18,4.7430159e-18,2.6813385e-18,,
agmatrix,2,5.5,2.0,1.5,7.5820466e-18,5.1963426e-18,2.3857041e-18,,
asweep,3,2.5,0.5,0.5,1.7494394e-17,6.8329798e-18,5.6304572e-18,5.0309566e-18,
asweep,3,3.4000000000000004,0.8,0.5,1.2217236e-17,5.3544807e-18,3.3289945e-18,3.5337611e-18,
asweep,3,4.0,1.0,0.5,9.959751e-18,4.4829055e-18,2.7807507e-18,2.6960948e-18,
asweep,3,4.6,1.2,0.5,8.4908362e-18,3.9925926e-18,2.313202e-18,2.1850416e-18,
asweep,3,5.5,1.5,0.5,6.9242229e-18,3.40857e-18,1.8457516e-18,1.6699013e-18,
asweep,3,7.0,2.0,0.5,5.3768843e-18,2.8377942e-18,1.3650614e-18,1.1740286e-18,
Tcompare,3,10.0,3.0,0.5,3.6981286e-18,2.1580921e-18,8.834618e-19,6.5657476e-19,
Tcompare,3,5.0,1.3333333333333333,0.5,3.6796776e-18,2.1479626e-18,8.7850589e-19,6.5320911e-19,
Tcompare,3,8.0,2.3333333333333335,0.5,3.6796776e-18,2.1479626e-18,8.7850589e-19,6.5320911e-19,
agmatrix,3,1.9,0.5,0.2,1.7401713e-17,6.1586279e-18,5.7553479e-18,5.4877373e-18,
agmatrix,3,2.5,0.5,0.5,1.7494394e-17,6.8329798e-18,5.6304572e-18,5.0309566e-18,
agmatrix,3,3.5,0.5,1.0,1.7106427e-17,7.7911916e-18,5.1102881e-18,4.2049469e-18,
agmatrix,3,4.5,0.5,1.5,1.7400316e-17,8.8271005e-18,4.8075474e-18,3.7656681e-18,
agmatrix,3,3.4,1.0,0.2,1.0122468e-17,4.0445198e-18,2.9739851e-18,3.1039632e-18,
agmatrix,3,4.0,1.0,0.5,9.959751e-18,4.4829055e-18,2.7807507e-18,2.6960948e-18,
agmatrix,3,5.0,1.0,1.0,1.0261225e-17,5.5125038e-18,2.4930252e-18,2.2556957e-18,
agmatrix,3,6.0,1.0,1.5,1.0582984e-17,6.2674156e-18,2.3714988e-18,1.9440695e-18,
agmatrix,3,4.9,1.5,0.2,6.7830194e-18,2.8500623e-18,1.9555283e-18,1.9774288e-18,
agmatrix,3,5.5,1.5,0.5,6.9242229e-18,3.40857e-18,1.8457516e-18,1.6699013e-18,
agmatrix,3,6.5,1.5,1.0,7.2773417e-18,4.2293945e-18,1.7056989e-18,1.3422483e-18,
agmatrix,3,7.5,1.5,1.5,7.7474623e-18,5.0761832e-18,1.5430805e-18,1.1281986e-18,
agmatrix,3,6.4,2.0,0.2,5.1997865e-18,2.2573294e-18,1.4943676e-18,1.4480895e-18,
agmatrix,3,7.0,2.0,0.5,5.3768843e-18,2.8377942e-18,1.3650614e-18,1.1740286e-18,
agmatrix,3,8.0,2.0,1.0,5.6403479e-18,3.5544853e-18,1.182566e-18,9.0329651e-19,
agmatrix,3,9.0,2.0,1.5,5.9454427e-18,4.1641363e-18,1.0672528e-18,7.1405359e-19,
asweep,4,3.5,0.5,0.5,1.37554e-17,4.6342752e-18,3.4615069e-18,2.9832417e-18,2.6763762e-18
asweep,4,4.7,0.8,0.5,9.8633553e-18,4.0274933e-18,2.2720264e-18,1.7253487e-18,1.8384869e-18
asweep,4,5.5,1.0,0.5,8.1781612e-18,3.5806934e-18,1.9593703e-18,1.2898149e-18,1.3482825e-18
asweep,4,6.3,1.2,0.5,6.7514254e-18,2.9437273e-18,1.7000565e-18,1.0611811e-18,1.0464605e-18
asweep,4,7.5,1.5,0.5,5.5389731e-18,2.7133265e-18,1.2952745e-18,7.8214e-19,7.4823208e-19
asweep,4,9.5,2.0,0.5,4.332249e-18,2.34196e-18,9.7855222e-19,5.3777528e-19,4.7396157e-19
Tcompare,4,10.0,2.125,0.5,4.1236206e-18,2.2661281e-18,9.3996278e-19,4.9696855e-19,4.2056119e-19
Tcompare,4,5.0,0.875,0.5,4.1236206e-18,2.2661281e-18,9.3996278e-19,4.9696855e-19,4.2056119e-19
Tcompare,4,8.0,1.625,0.5,4.1236206e-18,2.2661281e-18,9.3996278e-19,4.9696855e-19,4.2056119e-19
agmatrix,4,2.6,0.5,0.2,1.3519516e-17,3.7044955e-18,3.3723813e-18,3.2032674e-18,3.2393723e-18
agmatrix,4,3.5,0.5,0.5,1.37554e-17,4.6342752e-18,3.4615069e-18,2.9832417e-18,2.6763762e-18
agmatrix,4,5.0,0.5,1.0,1.3259271e-17,5.4429098e-18,3.4887574e-18,2.3519191e-18,1.9756851e-18
agmatrix,4,6.5,0.5,1.5,1.3658919e-17,6.6071184e-18,3.3454761e-18,2.0517686e-18,1.6545561e-18
agmatrix,4,4.6,1.0,0.2,7.7558548e-18,2.637327e-18,1.9506368e-18,1.5432464e-18,1.6246446e-18
agmatrix,4,5.5,1.0,0.5,8.1781612e-18,3.5806934e-18,1.9593703e-18,1.2898149e-18,1.3482825e-18
agmatrix,4,7.0,1.0,1.0,8.1904655e-18,4.3113255e-18,1.8452673e-18,1.0703202e-18,9.6355258e-19
agmatrix,4,8.5,1.0,1.5,8.7242577e-18,5.4056893e-18,1.7889455e-18,8.3272571e-19,6.9689713e-19
