source_file,layer,experiment,variation,T_mm,a_mm,g_mm,IntH2_total
result_1ceng_asweep.csv,1,asweep,1,0.5,0.5,0.0,3.520028e-17
result_1ceng_asweep.csv,1,asweep,2,0.8,0.8,0.0,2.6512512e-17
result_1ceng_asweep.csv,1,asweep,3,1.0,1.0,0.0,2.3140335e-17
result_1ceng_asweep.csv,1,asweep,4,1.2,1.2,0.0,2.0149579e-17
result_1ceng_asweep.csv,1,asweep,5,1.5,1.5,0.0,1.6935238e-17
result_1ceng_asweep.csv,1,asweep,6,2.0,2.0,0.0,1.3494501e-17
result_2ceng_asweep.csv,2,asweep,1,1.5,0.5,0.5,2.3254273e-17
result_2ceng_asweep.csv,2,asweep,2,2.1,0.8,0.5,1.618073e-17
result_2ceng_asweep.csv,2,asweep,3,2.5,1.0,0.5,1.3427694e-17
result_2ceng_asweep.csv,2,asweep,4,2.9,1.2,0.5,1.1534354e-17
result_2ceng_asweep.csv,2,asweep,5,3.5,1.5,0.5,9.5222597e-18
result_2ceng_asweep.csv,2,asweep,6,4.5,2.0,0.5,7.4023764e-18
result_3ceng_asweep.csv,3,asweep,1,2.5,0.5,0.5,1.7494394e-17
result_3ceng_asweep.csv,3,asweep,2,3.4000000000000004,0.8,0.5,1.2217236e-17
result_3ceng_asweep.csv,3,asweep,3,4.0,1.0,0.5,9.959751e-18
result_3ceng_asweep.csv,3,asweep,4,4.6,1.2,0.5,8.4908362e-18
result_3ceng_asweep.csv,3,asweep,5,5.5,1.5,0.5,6.9242229e-18
result_3ceng_asweep.csv,3,asweep,6,7.0,2.0,0.5,5.3768843e-18
result_4ceng_asweep.csv,4,asweep,1,3.5,0.5,0.5,1.37554e-17
result_4ceng_asweep.csv,4,asweep,2,4.7,0.8,0.5,9.8633553e-18
result_4ceng_asweep.csv,4,asweep,3,5.5,1.0,0.5,8.1781612e-18
result_4ceng_asweep.csv,4,asweep,4,6.3,1.2,0.5,6.7514254e-18
result_4ceng_asweep.csv,4,asweep,5,7.5,1.5,0.5,5.5389731e-18
result_4ceng_asweep.csv,4,asweep,6,9.5,2.0,0.5,4.332249e-18
