Variation,T,a,g,IntH2_total: None,IntH2_s1: None,IntH2_s2: None,IntH2_s3: None
1,1.9mm,0.5mm,0.2mm,1.7401713e-17,6.1586279e-18,5.7553479e-18,5.4877373e-18
2,2.5mm,0.5mm,0.5mm,1.7494394e-17,6.8329798e-18,5.6304572e-18,5.0309566e-18
3,3.5mm,0.5mm,1mm,1.7106427e-17,7.7911916e-18,5.1102881e-18,4.2049469e-18
4,4.5mm,0.5mm,1.5mm,1.7400316e-17,8.8271005e-18,4.8075474e-18,3.7656681e-18
5,3.4mm,1mm,0.2mm,1.0122468e-17,4.0445198e-18,2.9739851e-18,3.1039632e-18
6,4mm,1mm,0.5mm,9.959751e-18,4.4829055e-18,2.7807507e-18,2.6960948e-18
7,5mm,1mm,1mm,1.0261225e-17,5.5125038e-18,2.4930252e-18,2.2556957e-18
8,6mm,1mm,1.5mm,1.0582984e-17,6.2674156e-18,2.3714988e-18,1.9440695e-18
9,4.9mm,1.5mm,0.2mm,6.7830194e-18,2.8500623e-18,1.9555283e-18,1.9774288e-18
10,5.5mm,1.5mm,0.5mm,6.9242229e-18,3.40857e-18,1.8457516e-18,1.6699013e-18
11,6.5mm,1.5mm,1mm,7.2773417e-18,4.2293945e-18,1.7056989e-18,1.3422483e-18
12,7.5mm,1.5mm,1.5mm,7.7474623e-18,5.0761832e-18,1.5430805e-18,1.1281986e-18
13,6.4mm,2mm,0.2mm,5.1997865e-18,2.2573294e-18,1.4943676e-18,1.4480895e-18
14,7mm,2mm,0.5mm,5.3768843e-18,2.8377942e-18,1.3650614e-18,1.1740286e-18
15,8mm,2mm,1mm,5.6403479e-18,3.5544853e-18,1.182566e-18,9.0329651e-19
16,9mm,2mm,1.5mm,5.9454427e-18,4.1641363e-18,1.0672528e-18,7.1405359e-19
