Variation,T,a,g,IntH2_total: None,IntH2_s1: None,IntH2_s2: None,IntH2_s3: None,InH2_s4: None
1,2.6mm,0.5mm,0.2mm,1.3519516e-17,3.7044955e-18,3.3723813e-18,3.2032674e-18,3.2393723e-18
2,3.5mm,0.5mm,0.5mm,1.37554e-17,4.6342752e-18,3.4615069e-18,2.9832417e-18,2.6763762e-18
3,5mm,0.5mm,1mm,1.3259271e-17,5.4429098e-18,3.4887574e-18,2.3519191e-18,1.9756851e-18
4,6.5mm,0.5mm,1.5mm,1.3658919e-17,6.6071184e-18,3.3454761e-18,2.0517686e-18,1.6545561e-18
5,4.6mm,1mm,0.2mm,7.7558548e-18,2.637327e-18,1.9506368e-18,1.5432464e-18,1.6246446e-18
6,5.5mm,1mm,0.5mm,8.1781612e-18,3.5806934e-18,1.9593703e-18,1.2898149e-18,1.3482825e-18
7,7mm,1mm,1mm,8.1904655e-18,4.3113255e-18,1.8452673e-18,1.0703202e-18,9.6355258e-19
8,8.5mm,1mm,1.5mm,8.7242577e-18,5.4056893e-18,1.7889455e-18,8.3272571e-19,6.9689713e-19
9,6.6mm,1.5mm,0.2mm,5.4371263e-18,2.128045e-18,1.2691368e-18,1.0387229e-18,1.0012217e-18
10,7.5mm,1.5mm,0.5mm,5.5389731e-18,2.7133265e-18,1.2952745e-18,7.8214e-19,7.4823208e-19
11,9mm,1.5mm,1mm,5.9522076e-18,3.63452e-18,1.2400675e-18,5.6861871e-19,5.0900133e-19
12,8.6mm,2mm,0.2mm,4.1869268e-18,1.7746725e-18,1.0176006e-18,7.0793682e-19,6.86717e-19
13,9.5mm,2mm,0.5mm,4.332249e-18,2.34196e-18,9.7855222e-19,5.3777528e-19,4.7396157e-19
