case_label,mu_pp_non_ferrite_over_ferrite,IntH2_ferrite,IntH2_non_ferrite,weighted_IntH2_ratio_vs_reference,noise_amp_ratio_vs_reference
x_ferrite,0.1,4.16011287324e-06,0,1,1
x_ferrite,0.3,4.16011287324e-06,0,1,1
x_ferrite,1,4.16011287324e-06,0,1,1
x_ferrite,3,4.16011287324e-06,0,1,1
x_ferrite,10,4.16011287324e-06,0,1,1
x_ferrite,30,4.16011287324e-06,0,1,1
x_ferrite,100,4.16011287324e-06,0,1,1
x_amorphous,0.1,4.72049628699e-07,1.56265529622e-07,0.117226670650738,0.342383806057964
x_amorphous,0.3,4.72049628699e-07,1.56265529622e-07,0.124739232659677,0.353184417351157
x_amorphous,1,4.72049628699e-07,1.56265529622e-07,0.151033199690962,0.388629900665096
x_amorphous,3,4.72049628699e-07,1.56265529622e-07,0.22615881978035,0.475561583583399
x_amorphous,10,4.72049628699e-07,1.56265529622e-07,0.489098490093208,0.69935576789872
x_amorphous,30,4.72049628699e-07,1.56265529622e-07,1.24035469098709,1.11371212213349
x_amorphous,100,4.72049628699e-07,1.56265529622e-07,3.86975139411566,1.96716836953924
x_nanocrystalline,0.1,4.2154797183e-08,1.11715359419e-08,0.0104016290172167,0.101988376873135
x_nanocrystalline,0.3,4.2154797183e-08,1.11715359419e-08,0.0109387075188007,0.104588276201497
x_nanocrystalline,1,4.2154797183e-08,1.11715359419e-08,0.0128184822743447,0.113218736410299
x_nanocrystalline,3,4.2154797183e-08,1.11715359419e-08,0.0181892672901846,0.134867591697133
x_nanocrystalline,10,4.2154797183e-08,1.11715359419e-08,0.0369870148456241,0.192320084353206
x_nanocrystalline,30,4.2154797183e-08,1.11715359419e-08,0.090694865004023,0.3011558815697
x_nanocrystalline,100,4.2154797183e-08,1.11715359419e-08,0.278672340558419,0.527894251302682
z_single_nanocrystalline_cap,0.1,3.73541174825e-06,1.57310021041e-10,1.25716280812614,1.12123271809475
z_single_nanocrystalline_cap,0.3,3.73541174825e-06,1.57310021041e-10,1.25717339670316,1.12123743993106
z_single_nanocrystalline_cap,1,3.73541174825e-06,1.57310021041e-10,1.25721045672272,1.12125396620156
z_single_nanocrystalline_cap,3,3.73541174825e-06,1.57310021041e-10,1.2573163424929,1.12130118277513
z_single_nanocrystalline_cap,10,3.73541174825e-06,1.57310021041e-10,1.25768694268853,1.12146642512762
z_single_nanocrystalline_cap,30,3.73541174825e-06,1.57310021041e-10,1.25874580039035,1.12193841203087
z_single_nanocrystalline_cap,100,3.73541174825e-06,1.57310021041e-10,1.26245180234669,1.12358880483328
z_p0_amorphous_shell_cap,0.1,0,3.96001641333e-07,0.0133274849587076,0.115444726855355
z_p0_amorphous_shell_cap,0.3,0,3.96001641333e-07,0.0399824548761227,0.199956132379386
z_p0_amorphous_shell_cap,1,0,3.96001641333e-07,0.133274849587076,0.36506828071893
z_p0_amorphous_shell_cap,3,0,3.96001641333e-07,0.399824548761227,0.632316810437005
z_p0_amorphous_shell_cap,10,0,3.96001641333e-07,1.33274849587076,1.15444726855355
z_p0_amorphous_shell_cap,30,0,3.96001641333e-07,3.99824548761227,1.99956132379386
z_p0_amorphous_shell_cap,100,0,3.96001641333e-07,13.3274849587076,3.6506828071893
