layer,coefficient,estimate,SE,t_stat,p_value
2,c0,2.876186,0.042992,66.9009,0.000000
2,c1,-1.533722,0.061791,-24.8210,0.000000
2,c2,0.020387,0.063097,0.3231,0.753272
2,c3,0.359993,0.023401,15.3836,0.000000
2,c4,-0.003158,0.032781,-0.0964,0.925146
2,c5,0.000546,0.021143,0.0258,0.979908
3,c0,2.504697,0.034870,71.8298,0.000000
3,c1,-1.320044,0.050118,-26.3387,0.000000
3,c2,-0.053339,0.051177,-1.0422,0.321839
3,c3,0.294909,0.018980,15.5377,0.000000
3,c4,0.020622,0.026588,0.7756,0.455927
3,c5,0.043146,0.017149,2.5160,0.030598
4,c0,2.229439,0.043336,51.4460,0.000000
4,c1,-1.195966,0.063143,-18.9405,0.000000
4,c2,-0.072607,0.067191,-1.0806,0.315695
4,c3,0.271546,0.022271,12.1927,0.000006
4,c4,0.020802,0.030283,0.6869,0.514247
4,c5,0.078188,0.032130,2.4335,0.045188
