experiment,layer,T_mm,a_mm,g_mm,eta,gamma,total_ferrite_mm,IntH2_total,Qint,B_1Hz_fT,B_avg_1_30_fT,MaterialVolume_mm3
asweep,1,0.5,0.5,0,1,0,0.5,3.520028e-17,3.520028e-17,8.54644482778445,2.7306262073687,62988.9327044754
asweep,1,0.8,0.8,0,1,0,0.8,2.6512512e-17,2.6512512e-17,7.41716385669324,2.36981603690817,100933.088774533
asweep,1,1,1,0,1,0,1,2.3140335e-17,2.3140335e-17,6.92942590431084,2.21398164472044,126292.02467431
asweep,1,1.2,1.2,0,1,0,1.2,2.0149579e-17,2.0149579e-17,6.46614475230854,2.06596130637756,151701.226056544
asweep,1,1.5,1.5,0,1,0,1.5,1.6935238e-17,1.6935238e-17,5.92799851954283,1.89402124987482,189909.275909503
asweep,1,2,2,0,1,0,2,1.3494501e-17,1.3494501e-17,5.29164680578032,1.69070411605857,253840.686410055
Tcompare,1,5,5,0,1,0,5,3.0406487e-18,3.0406487e-18,2.51186073883442,0.802550405570203,644026.493985908
Tcompare,1,8,8,0,1,0,8,3.0406487e-18,3.0406487e-18,2.51186073883442,0.802550405570203,1045522.03511468
Tcompare,1,10,10,0,1,0,10,4.2032584e-19,4.2032584e-19,0.933910974962897,0.298388608944432,1319468.91450771
asweep,2,1.5,0.5,0.5,0.666666666666667,1,1,2.3254273e-17,2.3254273e-17,6.94646445305075,2.21942553497683,126606.183939669
asweep,2,2.1,0.8,0.5,0.761904761904762,0.625,1.6,1.618073e-17,1.618073e-17,5.79444026208134,1.85134880707741,203173.080092958
asweep,2,2.5,1,0.5,0.8,0.5,2,1.3427694e-17,1.3427694e-17,5.27853192013967,1.68651385318802,254469.004940773
asweep,2,2.9,1.2,0.5,0.827586206896552,0.416666666666667,2.4,1.1534354e-17,1.1534354e-17,4.89225484936592,1.5630966529352,305965.991718418
asweep,2,3.5,1.5,0.5,0.857142857142857,0.333333333333333,3,9.5222597e-18,9.5222597e-18,4.44510931001225,1.4202317128495,383588.463003314
asweep,2,4.5,2,0.5,0.888888888888889,0.25,4,7.4023764e-18,7.4023764e-18,3.9192053256284,1.25220310782656,513964.55812729
Tcompare,2,5,2.25,0.5,0.9,0.222222222222222,4.5,3.3078266e-18,3.3078266e-18,2.61989449271233,0.837067658716261,579623.844587317
Tcompare,2,8,3.75,0.5,0.9375,0.133333333333333,7.5,3.3078266e-18,3.3078266e-18,2.61989449271233,0.837067658716261,980176.907920016
Tcompare,2,10,4.75,0.5,0.95,0.105263157894737,9.5,3.3078266e-18,3.3078266e-18,2.61989449271233,0.837067658716261,1253495.46878233
agmatrix,2,1.2,0.5,0.2,0.833333333333333,0.4,1,2.3019731e-17,2.3019731e-17,6.9113447435088,2.20820463538608,126417.688380454
agmatrix,2,1.5,0.5,0.5,0.666666666666667,1,1,2.3254273e-17,2.3254273e-17,6.94646445305075,2.21942553497683,126606.183939669
agmatrix,2,2,0.5,1,0.5,2,1,2.3373486e-17,2.3373486e-17,6.96424721181173,2.22510720356424,126920.343205028
agmatrix,2,2.5,0.5,1.5,0.4,3,1,2.3523894e-17,2.3523894e-17,6.98661868793779,2.23225498726124,127234.502470387
agmatrix,2,2.2,1,0.2,0.909090909090909,0.2,2,1.3426123e-17,1.3426123e-17,5.27822312489112,1.68641519176618,254092.013822342
agmatrix,2,2.5,1,0.5,0.8,0.5,2,1.3427694e-17,1.3427694e-17,5.27853192013967,1.68651385318802,254469.004940773
agmatrix,2,3,1,1,0.666666666666667,1,2,1.3578801e-17,1.3578801e-17,5.3081495026939,1.69597679933126,255097.323471491
agmatrix,2,3.5,1,1.5,0.571428571428571,1.5,2,1.3618107e-17,1.3618107e-17,5.31582659272305,1.69842966290815,255725.642002209
agmatrix,2,3.2,1.5,0.2,0.9375,0.133333333333333,3,9.3875559e-18,9.3875559e-18,4.41355661993089,1.41015049145449,383022.976325667
agmatrix,2,3.5,1.5,0.5,0.857142857142857,0.333333333333333,3,9.5222597e-18,9.5222597e-18,4.44510931001225,1.4202317128495,383588.463003314
agmatrix,2,4,1.5,1,0.75,0.666666666666667,3,9.6551165e-18,9.6551165e-18,4.47601149840536,1.43010509613244,384530.940799391
agmatrix,2,4.5,1.5,1.5,0.666666666666667,1,3,9.7463481e-18,9.7463481e-18,4.49710878830092,1.43684577179983,385473.418595468
agmatrix,2,4.2,2,0.2,0.952380952380952,0.1,4,7.3301256e-18,7.3301256e-18,3.90003174836027,1.24607706669105,513210.575890429
agmatrix,2,4.5,2,0.5,0.888888888888889,0.25,4,7.4023764e-18,7.4023764e-18,3.9192053256284,1.25220310782656,513964.55812729
agmatrix,2,5,2,1,0.8,0.5,4,7.4243544e-18,7.4243544e-18,3.92501916493263,1.25406065471178,515221.195188726
agmatrix,2,5.5,2,1.5,0.727272727272727,0.75,4,7.5820466e-18,7.5820466e-18,3.96648356343951,1.26730870995781,516477.832250162
asweep,3,2.5,0.5,0.5,0.6,1,1.5,1.7494394e-17,1.7494394e-17,6.02506707248185,1.9250350737405,190851.75370558
asweep,3,3.4,0.8,0.5,0.705882352941177,0.625,2.4,1.2217236e-17,1.2217236e-17,5.03499351955929,1.60870227743626,306719.973955277
asweep,3,4,1,0.5,0.75,0.5,3,9.959751e-18,9.959751e-18,4.54607582115121,1.45249095127415,384530.940799391
asweep,3,4.6,1.2,0.5,0.782608695652174,0.416666666666667,3.6,8.4908362e-18,8.4908362e-18,4.1974706270056,1.34111007907052,462794.29698562
asweep,3,5.5,1.5,0.5,0.818181818181818,0.333333333333333,4.5,6.9242229e-18,6.9242229e-18,3.79051268444408,1.21108525054268,581037.561281432
asweep,3,7,2,0.5,0.857142857142857,0.25,6,5.3768843e-18,5.3768843e-18,3.34024082710093,1.06722143829356,780371.615151705
Tcompare,3,10,3,0.5,0.9,0.166666666666667,9,3.6981286e-18,3.6981286e-18,2.77015097481805,0.885075256744746,1187522.02305694
Tcompare,3,5,1.33333333333333,0.5,0.8,0.375,4,3.6796776e-18,3.6796776e-18,2.76323180382606,0.88286455158901,515221.195188724
Tcompare,3,8,2.33333333333333,0.5,0.875,0.214285714285714,7,3.6796776e-18,3.6796776e-18,2.76323180382606,0.88286455158901,914831.780725346
agmatrix,3,1.9,0.5,0.2,0.789473684210526,0.4,1.5,1.7401713e-17,1.7401713e-17,6.00908621639617,1.9199291208767,190286.267027934
agmatrix,3,2.5,0.5,0.5,0.6,1,1.5,1.7494394e-17,1.7494394e-17,6.02506707248185,1.9250350737405,190851.75370558
agmatrix,3,3.5,0.5,1,0.428571428571429,2,1.5,1.7106427e-17,1.7106427e-17,5.957884621077,1.90356998899731,191794.231501657
agmatrix,3,4.5,0.5,1.5,0.333333333333333,3,1.5,1.7400316e-17,1.7400316e-17,6.00884500847798,1.91985205390018,192736.709297734
agmatrix,3,3.4,1,0.2,0.882352941176471,0.2,3,1.0122468e-17,1.0122468e-17,4.58306103036812,1.46430788610586,383399.967444098
agmatrix,3,4,1,0.5,0.75,0.5,3,9.959751e-18,9.959751e-18,4.54607582115121,1.45249095127415,384530.940799391
agmatrix,3,5,1,1,0.6,1,3,1.0261225e-17,1.0261225e-17,4.61436600951421,1.47430996278218,386415.896391545
agmatrix,3,6,1,1.5,0.5,1.5,3,1.0582984e-17,1.0582984e-17,4.68615343312361,1.4972463561267,388300.851983698
agmatrix,3,4.9,1.5,0.2,0.918367346938775,0.133333333333333,4.5,6.7830194e-18,6.7830194e-18,3.75166424172568,1.19867300452227,579341.101248493
agmatrix,3,5.5,1.5,0.5,0.818181818181818,0.333333333333333,4.5,6.9242229e-18,6.9242229e-18,3.79051268444408,1.21108525054268,581037.561281432
agmatrix,3,6.5,1.5,1,0.692307692307692,0.666666666666667,4.5,7.2773417e-18,7.2773417e-18,3.88596440268831,1.24158248870757,583864.994669663
agmatrix,3,7.5,1.5,1.5,0.6,1,4.5,7.7474623e-18,7.7474623e-18,4.00951802405488,1.28105840686035,586692.428057894
agmatrix,3,6.4,2,0.2,0.9375,0.1,6,5.1997865e-18,5.1997865e-18,3.28477170007418,1.04949881151585,778109.668441121
agmatrix,3,7,2,0.5,0.857142857142857,0.25,6,5.3768843e-18,5.3768843e-18,3.34024082710093,1.06722143829356,780371.615151705
agmatrix,3,8,2,1,0.75,0.5,6,5.6403479e-18,5.6403479e-18,3.42109693988307,1.0930553171798,784141.526336012
agmatrix,3,9,2,1.5,0.666666666666667,0.75,6,5.9454427e-18,5.9454427e-18,3.51240456770852,1.12222850047378,787911.43752032
asweep,4,3.5,0.5,0.5,0.571428571428571,1,2,1.37554e-17,1.37554e-17,5.34255554751138,1.70696967994579,255725.642002209
asweep,4,4.7,0.8,0.5,0.680851063829787,0.625,3.2,9.8633553e-18,9.8633553e-18,4.52402267647046,1.44544487585524,411573.77036149
asweep,4,5.5,1,0.5,0.727272727272727,0.5,4,8.1781612e-18,8.1781612e-18,4.11945978609915,1.31618527689482,516477.832250162
asweep,4,6.3,1.2,0.5,0.761904761904762,0.416666666666667,4.8,6.7514254e-18,6.7514254e-18,3.74291677853744,1.19587815207647,622186.141858152
asweep,4,7.5,1.5,0.5,0.8,0.333333333333333,6,5.5389731e-18,5.5389731e-18,3.39021360450082,1.08318795751563,782256.570743859
asweep,4,9.5,2,0.5,0.842105263157895,0.25,8,4.332249e-18,4.332249e-18,2.99825895436802,0.957956746021328,1053061.8574833
Tcompare,4,10,2.125,0.5,0.85,0.235294117647059,8.5,4.1236206e-18,4.1236206e-18,2.92517453863669,0.934605958065917,1121548.57733156
Tcompare,4,5,0.875,0.5,0.7,0.571428571428571,3.5,4.1236206e-18,4.1236206e-18,2.92517453863669,0.934605958065917,450818.545790135
Tcompare,4,8,1.625,0.5,0.8125,0.307692307692308,6.5,4.1236206e-18,4.1236206e-18,2.92517453863669,0.934605958065917,849486.65353068
