experiment,layer,T_mm,a_mm,g_mm,IntH2_total,IntH2_L1,IntH2_L2,IntH2_L3,IntH2_L4,B0_T,B0_Bx_T,B0_By_T,B0_Bz_T,Bcenter_T,Bcenter_Bx_T,Bcenter_By_T,Bcenter_Bz_T,SF,ResidualRatio,SF_Bx,ResidualRatio_Bx,SF_By,ResidualRatio_By,SF_Bz,ResidualRatio_Bz,Qint,g_eff_mm,T_calc_mm,GeometryMismatch_mm,a_expected_from_T_mm,Qratio_L1,Qratio_L2,Qratio_L3,Qratio_L4,B_1Hz_fT,B_avg_1_30_fT,B_max_1_30_fT,MaterialVolume_mm3,ScoreWithinExperiment,ScoreGlobal,ScoreMultiObjective
asweep,1,0.5,0.5,0,3.520028e-17,3.520028e-17,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.520028e-17,0,0.5,0,NaN,NaN,NaN,NaN,NaN,8.54644482778445,2.7306262073687,8.54644482778445,62988.9327044754,0.7,0.7,NaN
asweep,1,0.8,0.8,0,2.6512512e-17,2.6512512e-17,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.6512512e-17,0,0.8,0,NaN,NaN,NaN,NaN,NaN,7.41716385669324,2.36981603690817,7.41716385669324,100933.088774533,0.569018976139878,0.60521816586132,NaN
asweep,1,1,1,0,2.3140335e-17,2.3140335e-17,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.3140335e-17,0,1,0,NaN,NaN,NaN,NaN,NaN,6.92942590431084,2.21398164472044,6.92942590431084,126292.02467431,0.51516632320881,0.566423655265081,NaN
asweep,1,1.2,1.2,0,2.0149579e-17,2.0149579e-17,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.0149579e-17,0,1.2,0,NaN,NaN,NaN,NaN,NaN,6.46614475230854,2.06596130637756,6.46614475230854,151701.226056544,0.46441455121496,0.529890037352577,NaN
asweep,1,1.5,1.5,0,1.6935238e-17,1.6935238e-17,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.6935238e-17,0,1.5,0,NaN,NaN,NaN,NaN,NaN,5.92799851954283,1.89402124987482,5.92799851954283,189909.275909503,0.408095402405499,0.489528186681455,NaN
asweep,1,2,2,0,1.3494501e-17,1.3494501e-17,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.3494501e-17,0,2,0,NaN,NaN,NaN,NaN,NaN,5.29164680578032,1.69070411605857,5.29164680578032,253840.686410055,0.347180310318527,0.446277754832123,NaN
Tcompare,1,5,5,0,3.0406487e-18,3.0406487e-18,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.0406487e-18,0,5,0,5,NaN,NaN,NaN,NaN,2.51186073883442,0.802550405570203,2.51186073883442,644026.493985908,0.621432435902321,0.283828024839631,NaN
Tcompare,1,8,8,0,3.0406487e-18,3.0406487e-18,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.0406487e-18,0,8,0,8,NaN,NaN,NaN,NaN,2.51186073883442,0.802550405570203,2.51186073883442,1045522.03511468,0.760094280386951,0.379690007587475,NaN
Tcompare,1,10,10,0,4.2032584e-19,4.2032584e-19,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.2032584e-19,0,10,0,10,NaN,NaN,NaN,NaN,0.933910974962897,0.298388608944432,0.933910974962897,1319468.91450771,0.3,0.3,NaN
asweep,2,1.5,0.5,0.5,2.3254273e-17,1.2325868e-17,1.0928405e-17,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.3254273e-17,0.5,1.5,0,NaN,NaN,NaN,NaN,NaN,6.94646445305075,2.21942553497683,6.94646445305075,126606.183939669,0.517411224796116,0.568065420776402,NaN
asweep,2,2.1,0.8,0.5,1.618073e-17,8.6552346e-18,7.5254953e-18,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.618073e-17,0.5,2.1,0,NaN,NaN,NaN,NaN,NaN,5.79444026208134,1.85134880707741,5.79444026208134,203173.080092958,0.395263747352395,0.480413918080912,NaN
asweep,2,2.5,1,0.5,1.3427694e-17,7.311195e-18,6.1164989e-18,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.3427694e-17,0.5,2.5,0,NaN,NaN,NaN,NaN,NaN,5.27853192013967,1.68651385318802,5.27853192013967,254469.004940773,0.345716025267183,0.44522181245169,NaN
asweep,2,2.9,1.2,0.5,1.1534354e-17,6.3545648e-18,5.1797897e-18,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.1534354e-17,0.5,2.9,0,NaN,NaN,NaN,NaN,NaN,4.89225484936592,1.5630966529352,4.89225484936592,305965.991718418,0.312584462639382,0.421997776703644,NaN
asweep,2,3.5,1.5,0.5,9.5222597e-18,5.3380221e-18,4.1842376e-18,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.5222597e-18,0.5,3.5,0,NaN,NaN,NaN,NaN,NaN,4.44510931001225,1.4202317128495,4.44510931001225,383588.463003314,0.279689515999957,0.399414445009211,NaN
asweep,2,4.5,2,0.5,7.4023764e-18,4.2805298e-18,3.1218466e-18,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.4023764e-18,0.5,4.5,0,NaN,NaN,NaN,NaN,NaN,3.9192053256284,1.25220310782656,3.9192053256284,513964.55812729,0.252842592926102,0.382184564102496,NaN
Tcompare,2,5,2.25,0.5,3.3078266e-18,2.2021138e-18,1.1057128e-18,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.3078266e-18,0.5,5,0,2.25,NaN,NaN,NaN,NaN,2.61989449271233,0.837067658716261,2.61989449271233,579623.844587317,0.637167830029475,0.27838519683503,NaN
Tcompare,2,8,3.75,0.5,3.3078266e-18,2.2021138e-18,1.1057128e-18,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.3078266e-18,0.5,8,0,3.75,NaN,NaN,NaN,NaN,2.61989449271233,0.837067658716261,2.61989449271233,980176.907920016,0.775504177226582,0.374022151454358,NaN
