experiment,layer,T_mm,a_mm,g_mm,IntH2_total,IntH2_L1,IntH2_L2,IntH2_L3,IntH2_L4,B0_T,B0_Bx_T,B0_By_T,B0_Bz_T,Bcenter_T,Bcenter_Bx_T,Bcenter_By_T,Bcenter_Bz_T,SF,ResidualRatio,SF_Bx,ResidualRatio_Bx,SF_By,ResidualRatio_By,SF_Bz,ResidualRatio_Bz,Qint,g_eff_mm,T_calc_mm,GeometryMismatch_mm,a_expected_from_T_mm,Qratio_L1,Qratio_L2,Qratio_L3,Qratio_L4,B_1Hz_fT,B_avg_1_30_fT,B_max_1_30_fT,MaterialVolume_mm3,ScoreWithinExperiment,ScoreGlobal,ScoreMultiObjective
asweep,1,2,2,0,1.3494501e-17,1.3494501e-17,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.3494501e-17,0,2,0,NaN,NaN,NaN,NaN,NaN,5.29164680578032,1.69070411605857,5.29164680578032,253840.686410055,0.347180310318527,0.446277754832123,NaN
Tcompare,1,10,10,0,4.2032584e-19,4.2032584e-19,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.2032584e-19,0,10,0,10,NaN,NaN,NaN,NaN,0.933910974962897,0.298388608944432,0.933910974962897,1319468.91450771,0.3,0.3,NaN
asweep,2,4.5,2,0.5,7.4023764e-18,4.2805298e-18,3.1218466e-18,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.4023764e-18,0.5,4.5,0,NaN,NaN,NaN,NaN,NaN,3.9192053256284,1.25220310782656,3.9192053256284,513964.55812729,0.252842592926102,0.382184564102496,NaN
Tcompare,2,5,2.25,0.5,3.3078266e-18,2.2021138e-18,1.1057128e-18,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.3078266e-18,0.5,5,0,2.25,NaN,NaN,NaN,NaN,2.61989449271233,0.837067658716261,2.61989449271233,579623.844587317,0.637167830029475,0.27838519683503,NaN
agmatrix,2,4.2,2,0.2,7.3301256e-18,3.946464e-18,3.3836615e-18,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.3301256e-18,0.2,4.2,0,NaN,NaN,NaN,NaN,NaN,3.90003174836027,1.24607706669105,3.90003174836027,513210.575890429,0.290296733316634,0.380241461875222,NaN
asweep,3,7,2,0.5,5.3768843e-18,2.8377942e-18,1.3650614e-18,1.1740286e-18,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.3768843e-18,0.5,7,0,NaN,NaN,NaN,NaN,NaN,3.34024082710093,1.06722143829356,3.34024082710093,780371.615151705,0.260519631918885,0.392554637038328,NaN
Tcompare,3,5,1.33333333333333,0.5,3.6796776e-18,2.1479626e-18,8.7850589e-19,6.5320911e-19,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.6796776e-18,0.5,5,0,1.33333333333333,NaN,NaN,NaN,NaN,2.76323180382606,0.88286455158901,2.76323180382606,515221.195188724,0.665313680771159,0.276188658507802,NaN
agmatrix,3,6.4,2,0.2,5.1997865e-18,2.2573294e-18,1.4943676e-18,1.4480895e-18,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.1997865e-18,0.2,6.4,0,NaN,NaN,NaN,NaN,NaN,3.28477170007418,1.04949881151585,3.28477170007418,778109.668441121,0.269428660566633,0.386913982830452,NaN
asweep,4,9.5,2,0.5,4.332249e-18,2.34196e-18,9.7855222e-19,5.3777528e-19,4.7396157e-19,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.332249e-18,0.5,9.5,0,NaN,NaN,NaN,NaN,NaN,2.99825895436802,0.957956746021328,2.99825895436802,1053061.8574833,0.3,0.426216306411298,NaN
Tcompare,4,10,2.125,0.5,4.1236206e-18,2.2661281e-18,9.3996278e-19,4.9696855e-19,4.2056119e-19,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.1236206e-18,0.5,10,0,2.125,NaN,NaN,NaN,NaN,2.92517453863669,0.934605958065917,2.92517453863669,1121548.57733156,0.931645569620253,0.435847974258081,NaN
agmatrix,4,8.6,2,0.2,4.1869268e-18,1.7746725e-18,1.0176006e-18,7.0793682e-19,6.86717e-19,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.1869268e-18,0.2,8.6,0,NaN,NaN,NaN,NaN,NaN,2.94754278908421,0.941752711144626,2.94754278908421,1048537.96406213,0.298535394629781,0.420472636704784,NaN
