experiment,layer,points,min_IntH2_total,best_T_mm,best_a_mm,best_g_mm,max_IntH2_total
Tcompare,1,3,4.2032584e-19,10.0,10.0,0.0,3.0406487e-18
Tcompare,2,3,3.3078266e-18,5.0,2.25,0.5,3.3078266e-18
Tcompare,3,3,3.6796776e-18,5.0,1.3333333333333333,0.5,3.6981286e-18
Tcompare,4,3,4.1236206e-18,10.0,2.125,0.5,4.1236206e-18
agmatrix,2,16,7.3301256e-18,4.2,2.0,0.2,2.3523894e-17
agmatrix,3,16,5.1997865e-18,6.4,2.0,0.2,1.7494394e-17
agmatrix,4,13,4.1869268e-18,8.6,2.0,0.2,1.37554e-17
asweep,1,6,1.3494501e-17,2.0,2.0,0.0,3.520028e-17
asweep,2,6,7.4023764e-18,4.5,2.0,0.5,2.3254273e-17
asweep,3,6,5.3768843e-18,7.0,2.0,0.5,1.7494394e-17
asweep,4,6,4.332249e-18,9.5,2.0,0.5,1.37554e-17
