case_id,stage,model_type,priority,Rin_mm,H_mm,N_layers,t_ferrite_mm,g_radial_mm,T_ferrite_total_mm,T_space_mm,N_segments,circumferential_gap_mm,coverage_phi,slot_pattern,external_field_direction,coil_direction,mu_r,sigma_S_per_m,status,export_required,purpose,notes,B0_Bx_T,B0_By_T,B0_Bz_T,B0_Mag_T,Bcenter_Bx_T,Bcenter_By_T,Bcenter_Bz_T,Bcenter_Mag_T,IntH2_total,IntH2_L1,IntH2_L2,IntH2_L3,IntH2_L4,IntH2_L5,IntH2_L6,data_status,missing_fields,Vf_mm3,SFq,SFx,LeakageRatioq,LeakageRatiox,etaS,etaS_star,rhoH,chiH,B0_direction_validation,SF_validation_notes,metric_status,used_in_paper,SFz,LeakageRatioz
B0_reference_x,reference,no_shield,0,100,200,0,0,0,0,0,0,0,0,none,x,,1000,0.01,exported,B0_Bx_T;B0_By_T;B0_Bz_T;B0_Mag_T,canonical transverse no-shield reference,Rebuilt as clean x-directed tangential-H no-shield reference in aedt/reference/B0_reference_x.aedt,1.25663682659e-06,-3.82793442545e-15,-1.9432455921e-13,1.25663682659e-06,,,,,,,,,,,,exported,,0,,,,,,,,,passed,SF cannot be computed from directional B0/Bcenter components,missing,no,,
B0_reference_z,reference,no_shield,0,100,200,0,0,0,0,0,0,0,0,none,z,,1000,0.01,planned,B0_Bx_T;B0_By_T;B0_Bz_T;B0_Mag_T,canonical axial no-shield reference,Create/export as standalone z-directed reference,,,,,,,,,,,,,,,,planned,B0_Bx_T;B0_By_T;B0_Bz_T;B0_Mag_T,0,,,,,,,,,missing,B0 primary component missing,missing,no,,
C1_N1_t008_x,screen_continuous,continuous_shell,1,100,200,1,0.08,0,0.08,0.08,0,0,1.00,none,x,x,1000,0.01,built,Bcenter_Bx_T;Bcenter_By_T;Bcenter_Bz_T;Bcenter_Mag_T;IntH2_total;IntH2_L1,priority-1 transverse single-layer baseline,AEDT project exists under round2_working/manufacturable_thin; exports still pending verification,1.25663682659e-06,-3.82793442545e-15,-1.9432455921e-13,1.25663682659e-06,1.00089070612e-06,-2.87629371144e-09,-9.7859911139e-10,1.00089531736e-06,3.40720179238e-06,3.40720179238e-06,,,,,,exported,,10057.1177,1.25551853,1.25551853,0.796483666,0.796483666,2.26256333e-05,1.71105036,3.38785116e-10,1.49735087e-05,passed,B0 primary component dominates transverse components,processed,no,,
C1_N1_t020_x,screen_continuous,continuous_shell,1,100,200,1,0.20,0,0.20,0.20,0,0,1.00,none,x,x,1000,0.01,built,Bcenter_Bx_T;Bcenter_By_T;Bcenter_Bz_T;Bcenter_Mag_T;IntH2_total;IntH2_L1,priority-1 transverse single-layer baseline,AEDT project exists under round2_working/manufacturable_thin; exports still pending verification,1.25663682659e-06,-3.82793442545e-15,-1.9432455921e-13,1.25663682659e-06,8.38340580294e-07,-2.32374866397e-08,2.86451426722e-10,8.38662620729e-07,4.40990981182e-06,4.40990981182e-06,,,,,,exported,,25157.874,1.49895741,1.49895741,0.667130361,0.667130361,1.60891897e-05,1.21673562,1.75289447e-10,1.08948586e-05,passed,B0 primary component dominates transverse components,processed,no,,
C1_N1_t040_x,screen_continuous,continuous_shell,1,100,200,1,0.40,0,0.40,0.40,0,0,1.00,none,x,x,1000,0.01,built,Bcenter_Bx_T;Bcenter_By_T;Bcenter_Bz_T;Bcenter_Mag_T;IntH2_total;IntH2_L1,priority-1 transverse single-layer baseline,AEDT project exists under round2_working/manufacturable_thin; exports still pending verification,1.25663682659e-06,-3.82793442545e-15,-1.9432455921e-13,1.25663682659e-06,5.88628894423e-07,-9.93257654698e-09,2.18241603685e-09,5.88716735252e-07,5.06587792625e-06,5.06587792625e-06,,,,,,exported,,50366.0134,2.13485413,2.13485413,0.468416079,0.468416079,1.50577397e-05,1.13873281,1.00581277e-10,6.67970614e-06,passed,B0 primary component dominates transverse components,processed,no,,
C1_N1_t060_x,screen_continuous,continuous_shell,1,100,200,1,0.60,0,0.60,0.60,0,0,1.00,none,x,x,1000,0.01,built,Bcenter_Bx_T;Bcenter_By_T;Bcenter_Bz_T;Bcenter_Mag_T;IntH2_total;IntH2_L1,priority-1 transverse single-layer baseline,AEDT project exists under round2_working/manufacturable_thin; exports still pending verification,1.25663682659e-06,-3.82793442545e-15,-1.9432455921e-13,1.25663682659e-06,4.47820456963e-07,3.45778784488e-10,5.9710974477e-10,4.47820988538e-07,4.84840552783e-06,4.84840552783e-06,,,,,,exported,,75624.4184,2.80611751,2.80611751,0.356364263,0.356364263,1.36437659e-05,1.03180186,6.41116406e-11,4.69896956e-06,passed,B0 primary component dominates transverse components,processed,no,,
C2_N2_t020_g010_x,screen_continuous,continuous_shell,1,100,200,2,0.20,0.10,0.40,0.50,0,0,1.00,none,x,x,1000,0.01,planned,Bcenter_Bx_T;Bcenter_By_T;Bcenter_Bz_T;Bcenter_Mag_T;IntH2_total;IntH2_L1;IntH2_L2,priority-1 transverse multilayer candidate,Hold until all four single-layer SFx values pass validation,1.25663682659e-06,-3.82793442545e-15,-1.9432455921e-13,1.25663682659e-06,5.62338382191e-07,-2.36349126727e-09,1.46454334962e-09,5.62345256104e-07,4.93935847895e-06,2.43851582265e-06,2.5008426563e-06,,,,,exported,,50391.1462,2.23466309,2.23466309,0.44749475,0.44749475,1.59569793e-05,1.20673727,9.80203638e-11,6.14278945e-06,passed,B0 primary component dominates transverse components,processed,no,,
C2_N3_t020_g010_x,screen_continuous,continuous_shell,1,100,200,3,0.20,0.10,0.60,0.80,0,0,1.00,none,x,x,1000,0.01,planned,Bcenter_Bx_T;Bcenter_By_T;Bcenter_Bz_T;Bcenter_Mag_T;IntH2_total;IntH2_L1;IntH2_L2;IntH2_L3,priority-1 transverse multilayer candidate,Hold until all four single-layer SFx values pass validation,1.25663682659e-06,-3.82793442545e-15,-1.9432455921e-13,1.25663682659e-06,4.36635595548e-07,-9.67599370619e-10,6.96568124572e-09,4.36692226016e-07,4.8969926573e-06,1.25403401457e-06,1.75581193274e-06,1.88714670999e-06,,,,exported,,75699.8166,2.87799904,2.87799904,0.347463632,0.347463632,1.39643043e-05,1.05604239,6.46896238e-11,4.63249886e-06,passed,B0 primary component dominates transverse components,processed,no,,
C2_N4_t015_g008_x,screen_continuous,continuous_shell,1,100,200,4,0.15,0.08,0.60,0.84,0,0,1.00,none,x,x,1000,0.01,planned,Bcenter_Bx_T;Bcenter_By_T;Bcenter_Bz_T;Bcenter_Mag_T;IntH2_total;IntH2_L1;IntH2_L2;IntH2_L3;IntH2_L4,priority-1 transverse multilayer candidate,Hold until all four single-layer SFx values pass validation,1.25663682659e-06,-3.82793442545e-15,-1.9432455921e-13,1.25663682659e-06,3.35118015252e-07,-6.50732337618e-10,2.62580651207e-08,3.36145792154e-07,4.21849322113e-06,8.15534482415e-07,8.27641338704e-07,8.39537315278e-07,1.73578008474e-06,,,exported,,75714.8962,3.7498337,3.7498337,0.266678493,0.266678493,1.74564261e-05,1.32013207,5.57154989e-11,3.1916899e-06,passed,B0 primary component dominates transverse components,processed,no,,
C1_N1_t060_z,axial_extension,continuous_shell,2,100,200,1,0.60,0,0.60,0.60,0,0,1.00,none,z,z,1000,0.01,planned,Bcenter_Bx_T;Bcenter_By_T;Bcenter_Bz_T;Bcenter_Mag_T;IntH2_total;IntH2_L1,selected axial-field extension,Run after priority-1 transverse screening,,,,,,,,,,,,,,,,planned,Bcenter_Bx_T;Bcenter_By_T;Bcenter_Bz_T;Bcenter_Mag_T;IntH2_total;IntH2_L1,75624.4184,,,,,,,,,missing,B0 primary component missing,missing,no,,
