case_id,field_dir,Bcenter_Bx_T,Bcenter_By_T,Bcenter_Bz_T,Bcenter_Mag_T,source_project,status
C1_N1_t008_x,x,9.37472502461e-07,-2.06064708443e-08,2.13941381503e-08,,D:\tangyumengnew\aaaaaaaaximukeji\round2_working\manufacturable_thin\C1_N1_t008_shield.aedt,exported
C1_N1_t020_x,x,8.35289421146e-07,-2.22753765617e-08,-9.00396408911e-11,,D:\tangyumengnew\aaaaaaaaximukeji\round2_working\manufacturable_thin\C1_N1_t020_shield.aedt,exported
C1_N1_t040_x,x,5.83249302251e-07,-1.24183795092e-08,3.96637340435e-10,,D:\tangyumengnew\aaaaaaaaximukeji\round2_working\manufacturable_thin\C1_N1_t040_shield.aedt,exported
C1_N1_t060_x,x,4.4176858814e-07,-1.01877918866e-09,2.84338320302e-09,,D:\tangyumengnew\aaaaaaaaximukeji\round2_working\manufacturable_thin\C1_N1_t060_shield.aedt,exported
C2_N2_t020_g010_x,x,5.6157605805e-07,-2.32204793649e-09,7.93412529868e-10,,D:\tangyumengnew\aaaaaaaaximukeji\round2_working\manufacturable_thin\C2_N2_t020_g010_shield.aedt,exported
C2_N3_t020_g010_x,x,4.19744915902e-07,-3.85861780038e-09,4.40799939634e-10,,D:\tangyumengnew\aaaaaaaaximukeji\round2_working\manufacturable_thin\C2_N3_t020_g010_shield.aedt,exported
C2_N4_t015_g008_x,x,3.46266099326e-07,-1.59169138475e-08,-5.56193290753e-08,,D:\tangyumengnew\aaaaaaaaximukeji\round2_working\manufacturable_thin\C2_N4_t015_g008_shield.aedt,exported
C1_N1_t060_z,z,-2.30454747835e-09,-1.33798990542e-09,5.76065427286e-07,,D:\tangyumengnew\aaaaaaaaximukeji\round2_working\manufacturable_thin\C1_N1_t060_z_shield.aedt,exported
C2_N3_t020_g010_z,z,9.03219908686e-10,-3.12546477297e-10,5.73516339558e-07,,D:\tangyumengnew\aaaaaaaaximukeji\round2_working\manufacturable_thin\C2_N3_t020_g010_z_shield.aedt,exported
C2_N4_t015_g008_z,z,-4.46988076175e-09,-3.38690250153e-09,5.20892809375e-07,,D:\tangyumengnew\aaaaaaaaximukeji\round2_working\manufacturable_thin\C2_N4_t015_g008_z_shield.aedt,exported
MU_C2_N3_t020_g010_x_mu500,x,6.20434472505e-07,-4.81920040812e-09,3.45388758739e-10,6.20453284832e-07,D:\tangyumengnew\aaaaaaaaximukeji\round2_working\manufacturable_thin\MU_C2_N3_t020_g010_x_mu500_shield.aedt,exported
MU_C2_N3_t020_g010_x_mu1000,x,4.20126559715e-07,-4.12149046802e-09,3.13444131092e-10,4.201468923e-07,D:\tangyumengnew\aaaaaaaaximukeji\round2_working\manufacturable_thin\MU_C2_N3_t020_g010_x_mu1000_shield.aedt,exported
MU_C2_N3_t020_g010_x_mu1500,x,3.21240629633e-07,-3.4586559063e-09,2.83000100841e-10,3.21259372652e-07,D:\tangyumengnew\aaaaaaaaximukeji\round2_working\manufacturable_thin\MU_C2_N3_t020_g010_x_mu1500_shield.aedt,exported
MU_C2_N4_t015_g008_x_mu500,x,5.84427165187e-07,-1.5472123648e-09,-2.7906309305e-08,5.85095092591e-07,D:\tangyumengnew\aaaaaaaaximukeji\round2_working\manufacturable_thin\MU_C2_N4_t015_g008_x_mu500_shield.aedt,exported
MU_C2_N4_t015_g008_x_mu1000,x,3.89946225001e-07,-1.14536465056e-10,-3.55886339453e-08,3.91566881104e-07,D:\tangyumengnew\aaaaaaaaximukeji\round2_working\manufacturable_thin\MU_C2_N4_t015_g008_x_mu1000_shield.aedt,exported
MU_C2_N4_t015_g008_x_mu1500,x,2.95952628129e-07,9.27651369557e-10,-3.92866550428e-08,2.98550263604e-07,D:\tangyumengnew\aaaaaaaaximukeji\round2_working\manufacturable_thin\MU_C2_N4_t015_g008_x_mu1500_shield.aedt,exported
S1_N1_t060_seg12_aligned_x,x,,,,,D:\tangyumengnew\aaaaaaaaximukeji\round2_working\manufacturable_thin\S1_N1_t060_seg12_aligned_x_shield.aedt,failed
S1_N1_t060_seg12_staggered_x,x,,,,,D:\tangyumengnew\aaaaaaaaximukeji\round2_working\manufacturable_thin\S1_N1_t060_seg12_staggered_x_shield.aedt,failed
S2_N3_t020_g010_seg12_aligned_x,x,,,,,D:\tangyumengnew\aaaaaaaaximukeji\round2_working\manufacturable_thin\S2_N3_t020_g010_seg12_aligned_x_shield.aedt,failed
S2_N3_t020_g010_seg12_staggered_x,x,,,,,D:\tangyumengnew\aaaaaaaaximukeji\round2_working\manufacturable_thin\S2_N3_t020_g010_seg12_staggered_x_shield.aedt,failed
S2_N4_t015_g008_seg12_aligned_x,x,,,,,D:\tangyumengnew\aaaaaaaaximukeji\round2_working\manufacturable_thin\S2_N4_t015_g008_seg12_aligned_x_shield.aedt,failed
S2_N4_t015_g008_seg12_staggered_x,x,,,,,D:\tangyumengnew\aaaaaaaaximukeji\round2_working\manufacturable_thin\S2_N4_t015_g008_seg12_staggered_x_shield.aedt,failed
