case_id,coil_dir,source_project,status,IntH2_total,IntH2_L1,IntH2_L2,IntH2_L3,IntH2_L4,IntH2_L5,IntH2_L6,notes
C1_N1_t008_x,x,D:\tangyumengnew\aaaaaaaaximukeji\round2_working\manufacturable_thin\C1_N1_t008_shield.aedt,exported,3.81894499816e-06,3.81894499816e-06,,,,,,
C1_N1_t020_x,x,D:\tangyumengnew\aaaaaaaaximukeji\round2_working\manufacturable_thin\C1_N1_t020_shield.aedt,exported,4.38332809750e-06,4.38332809750e-06,,,,,,
C1_N1_t040_x,x,D:\tangyumengnew\aaaaaaaaximukeji\round2_working\manufacturable_thin\C1_N1_t040_shield.aedt,exported,4.97256263539e-06,4.97256263539e-06,,,,,,
C1_N1_t060_x,x,D:\tangyumengnew\aaaaaaaaximukeji\round2_working\manufacturable_thin\C1_N1_t060_shield.aedt,exported,4.64859407934e-06,4.64859407934e-06,,,,,,
C2_N2_t020_g010_x,x,D:\tangyumengnew\aaaaaaaaximukeji\round2_working\manufacturable_thin\C2_N2_t020_g010_shield.aedt,exported,4.91730797733e-06,2.4276e-06,2.4897e-06,,,,,
C2_N3_t020_g010_x,x,D:\tangyumengnew\aaaaaaaaximukeji\round2_working\manufacturable_thin\C2_N3_t020_g010_shield.aedt,exported,4.38092548018e-06,1.12486305556e-06,1.58194909981e-06,1.67411332481e-06,,,,
C2_N4_t015_g008_x,x,D:\tangyumengnew\aaaaaaaaximukeji\round2_working\manufacturable_thin\C2_N4_t015_g008_shield.aedt,exported,4.16011287324e-06,8.12695419473e-07,8.25286085808e-07,8.57167197064e-07,1.66496417090e-06,,,
C1_N1_t060_z,z,D:\tangyumengnew\aaaaaaaaximukeji\round2_working\manufacturable_thin\C1_N1_t060_z_shield.aedt,exported,0.0,True,,,,,,
C2_N3_t020_g010_z,z,D:\tangyumengnew\aaaaaaaaximukeji\round2_working\manufacturable_thin\C2_N3_t020_g010_z_shield.aedt,exported,0.0,0.0,0.0,0.0,,,,
C2_N4_t015_g008_z,z,D:\tangyumengnew\aaaaaaaaximukeji\round2_working\manufacturable_thin\C2_N4_t015_g008_z_shield.aedt,exported,0.0,0.0,0.0,0.0,0.0,,,
C1_N1_t060_z,z,D:\tangyumengnew\aaaaaaaaximukeji\round2_working\manufacturable_thin\C1_N1_t060_z_shield.aedt,exported,0.0,True,,,,,,
C2_N3_t020_g010_z,z,D:\tangyumengnew\aaaaaaaaximukeji\round2_working\manufacturable_thin\C2_N3_t020_g010_z_shield.aedt,exported,0.0,0.0,0.0,0.0,,,,
C2_N4_t015_g008_z,z,D:\tangyumengnew\aaaaaaaaximukeji\round2_working\manufacturable_thin\C2_N4_t015_g008_z_shield.aedt,exported,0.0,0.0,0.0,0.0,0.0,,,
MU_C2_N3_t020_g010_x_mu500,x,D:\tangyumengnew\aaaaaaaaximukeji\round2_working\manufacturable_thin\MU_C2_N3_t020_g010_x_mu500_shield.aedt,exported,4.38092548022e-06,1.12486305557e-06,1.58194909982e-06,1.67411332483e-06,,,,mu_r=500
MU_C2_N3_t020_g010_x_mu2000,x,D:\tangyumengnew\aaaaaaaaximukeji\round2_working\manufacturable_thin\MU_C2_N3_t020_g010_x_mu2000_shield.aedt,exported,4.38092548008e-06,1.12486305553e-06,1.58194909977e-06,1.67411332478e-06,,,,mu_r=2000
MU_C2_N3_t020_g010_x_mu5000,x,D:\tangyumengnew\aaaaaaaaximukeji\round2_working\manufacturable_thin\MU_C2_N3_t020_g010_x_mu5000_shield.aedt,exported,4.38092547989e-06,1.12486305548e-06,1.5819490997e-06,1.67411332471e-06,,,,mu_r=5000
