DesignType,DesignVar_mm,Qint,MaterialVolume_mm3,MinGap_mm,B_1Hz_fT,B_avg_1_30_fT,B_max_1_30_fT,Score
2-layer,0.5,6.11996007540042e-18,508938.009881546,4,3.56358177178548,1.13857983924544,3.56358177178548,0.7
2-layer,0.6,5.15579101125339e-18,610725.611857856,3.8,3.27084592420267,1.04504946569792,3.27084592420267,0.586715343812491
2-layer,0.7,4.66880502177263e-18,712513.213834165,3.6,3.11254259169272,0.994470864048243,3.11254259169272,0.534955450581026
2-layer,0.8,4.18238665956347e-18,814300.815810474,3.4,2.94594425528928,0.94124197266076,2.94594425528928,0.47939924253696
2-layer,0.9,3.75899451141685e-18,916088.417786784,3.2,2.79285430296015,0.892329068600849,2.79285430296015,0.430025319542314
2-layer,1,3.45825559217975e-18,1017876.01976309,3,2.67880424365243,0.855889579763903,2.67880424365243,0.398518503792293
2-layer,1.1,3.17288230086125e-18,1119663.6217394,2.8,2.56589816026148,0.819815596196328,2.56589816026148,0.367535243277913
2-layer,1.2,2.93515437798748e-18,1221451.22371571,2.6,2.46790199197273,0.788505395201286,2.46790199197273,0.343375696445157
2-layer,1.3,2.72551412423174e-18,1323238.82569202,2.4,2.3781358112526,0.75982471094613,2.3781358112526,0.322982708870893
2-layer,1.4,2.59296335467587e-18,1425026.42766833,2.2,2.31958677439101,0.741118039611788,2.31958677439101,0.316876647156945
2-layer,1.5,2.42946313090849e-18,1526814.02964464,2,2.245264918192,0.71737188405743,2.245264918192,0.303551952582059
3-layer,0.5,4.51469358194408e-18,763407.01482232,1.75,3.06074095021007,0.977920014815896,3.06074095021007,0.521592593227868
3-layer,0.6,3.68679261001993e-18,916088.417786784,1.6,2.76590200070966,0.883717691079887,2.76590200070966,0.417690253087724
3-layer,0.7,3.35524303802171e-18,1068769.82075125,1.45,2.63860527457992,0.843045834713126,2.63860527457992,0.390465758128286
3-layer,0.8,2.92739927771674e-18,1221451.22371571,1.3,2.46463955948157,0.787463033863951,2.46463955948157,0.341882602415262
3-layer,0.9,2.72408466476698e-18,1374132.62668018,1.15,2.3775120950589,0.759625430915804,2.3775120950589,0.333042084749617
3-layer,1,2.50594924295349e-18,1526814.02964464,1,2.28033456065573,0.728576786999436,2.28033456065573,0.319602023789648
3-layer,1.1,2.30492381595033e-18,1679495.4326091,0.85,2.18695940688675,0.69874302019505,2.18695940688675,0.30790217104538
3-layer,1.2,2.13372594505045e-18,1832176.83557357,0.7,2.10417450074907,0.672292883462263,2.10417450074907,0.301049080818411
3-layer,1.3,1.99391911006992e-18,1984858.23853803,0.55,2.03407144082762,0.649894651624865,2.03407144082762,0.3
