f_Hz,omega_rad_s,A_m2,mu_pp_H_m,Qint,P_hyst_W,deltaB_T_per_sqrtHz,deltaB_fT_per_sqrtHz
1,6.28318530717959,9.86960440108936e-05,7.6654860747591e-06,5.4464984407578e-18,1.31161675354688e-22,3.36179421976782e-15,3.36179421976782
2,12.5663706143592,9.86960440108936e-05,7.6654860747591e-06,5.4464984407578e-18,2.62323350709376e-22,2.37714748975157e-15,2.37714748975157
3,18.8495559215388,9.86960440108936e-05,7.6654860747591e-06,5.4464984407578e-18,3.93485026064064e-22,1.94093279774308e-15,1.94093279774308
4,25.1327412287183,9.86960440108936e-05,7.6654860747591e-06,5.4464984407578e-18,5.24646701418752e-22,1.68089710988391e-15,1.68089710988391
5,31.4159265358979,9.86960440108936e-05,7.6654860747591e-06,5.4464984407578e-18,6.5580837677344e-22,1.50344008035334e-15,1.50344008035334
6,37.6991118430775,9.86960440108936e-05,7.6654860747591e-06,5.4464984407578e-18,7.86970052128128e-22,1.37244674311151e-15,1.37244674311151
7,43.9822971502571,9.86960440108936e-05,7.6654860747591e-06,5.4464984407578e-18,9.18131727482816e-22,1.27063878064001e-15,1.27063878064001
8,50.2654824574367,9.86960440108936e-05,7.6654860747591e-06,5.4464984407578e-18,1.0492934028375e-21,1.18857374487578e-15,1.18857374487578
9,56.5486677646163,9.86960440108936e-05,7.6654860747591e-06,5.4464984407578e-18,1.18045507819219e-21,1.12059807325594e-15,1.12059807325594
10,62.8318530717959,9.86960440108936e-05,7.6654860747591e-06,5.4464984407578e-18,1.31161675354688e-21,1.0630926759255e-15,1.0630926759255
11,69.1150383789754,9.86960440108936e-05,7.6654860747591e-06,5.4464984407578e-18,1.44277842890157e-21,1.01361909539595e-15,1.01361909539595
12,75.398223686155,9.86960440108936e-05,7.6654860747591e-06,5.4464984407578e-18,1.57394010425626e-21,9.7046639887154e-16,0.97046639887154
13,81.6814089933346,9.86960440108936e-05,7.6654860747591e-06,5.4464984407578e-18,1.70510177961094e-21,9.32393956687026e-16,0.932393956687026
14,87.9645943005142,9.86960440108936e-05,7.6654860747591e-06,5.4464984407578e-18,1.83626345496563e-21,8.98477298229158e-16,0.898477298229158
15,94.2477796076938,9.86960440108936e-05,7.6654860747591e-06,5.4464984407578e-18,1.96742513032032e-21,8.68011535102476e-16,0.868011535102476
16,100.530964914873,9.86960440108936e-05,7.6654860747591e-06,5.4464984407578e-18,2.09858680567501e-21,8.40448554941956e-16,0.840448554941956
17,106.814150222053,9.86960440108936e-05,7.6654860747591e-06,5.4464984407578e-18,2.2297484810297e-21,8.1535486233492e-16,0.81535486233492
18,113.097335529233,9.86960440108936e-05,7.6654860747591e-06,5.4464984407578e-18,2.36091015638438e-21,7.92382496583855e-16,0.792382496583855
19,119.380520836412,9.86960440108936e-05,7.6654860747591e-06,5.4464984407578e-18,2.49207183173907e-21,7.71248488049848e-16,0.771248488049848
20,125.663706143592,9.86960440108936e-05,7.6654860747591e-06,5.4464984407578e-18,2.62323350709376e-21,7.51720040176672e-16,0.751720040176672
21,131.946891450771,9.86960440108936e-05,7.6654860747591e-06,5.4464984407578e-18,2.75439518244845e-21,7.33603642045289e-16,0.733603642045289
22,138.230076757951,9.86960440108936e-05,7.6654860747591e-06,5.4464984407578e-18,2.88555685780314e-21,7.1673693589465e-16,0.71673693589465
23,144.51326206513,9.86960440108936e-05,7.6654860747591e-06,5.4464984407578e-18,3.01671853315782e-21,7.00982551915348e-16,0.700982551915349
24,150.79644737231,9.86960440108936e-05,7.6654860747591e-06,5.4464984407578e-18,3.14788020851251e-21,6.86223371555755e-16,0.686223371555755
25,157.07963267949,9.86960440108936e-05,7.6654860747591e-06,5.4464984407578e-18,3.2790418838672e-21,6.72358843953565e-16,0.672358843953565
26,163.362817986669,9.86960440108936e-05,7.6654860747591e-06,5.4464984407578e-18,3.41020355922189e-21,6.59302089510752e-16,0.659302089510752
27,169.646003293849,9.86960440108936e-05,7.6654860747591e-06,5.4464984407578e-18,3.54136523457658e-21,6.46977599247693e-16,0.646977599247693
28,175.929188601028,9.86960440108936e-05,7.6654860747591e-06,5.4464984407578e-18,3.67252690993126e-21,6.35319390320006e-16,0.635319390320006
29,182.212373908208,9.86960440108936e-05,7.6654860747591e-06,5.4464984407578e-18,3.80368858528595e-21,6.24269514521444e-16,0.624269514521444
30,188.495559215388,9.86960440108936e-05,7.6654860747591e-06,5.4464984407578e-18,3.93485026064064e-21,6.13776842619106e-16,0.613776842619106
