f_Hz,omega_rad_per_s,A_m2,mu_pp_current_H_per_m,Qint,P_hyst_current_W,deltaB_current_T_per_sqrtHz,deltaB_current_fT_per_sqrtHz,deltaB_required_T_per_sqrtHz,deltaB_required_fT_per_sqrtHz
1,6.28318530717959,9.86960440108936e-05,7.6654860747591e-06,3.45825559217975e-18,8.32811396549127e-23,2.67880424365243e-15,2.67880424365243,3.12984794649723e-15,3.12984794649723
2,12.5663706143592,9.86960440108936e-05,7.6654860747591e-06,3.45825559217975e-18,1.66562279309825e-22,1.89420064615793e-15,1.89420064615793,2.21313670705098e-15,2.21313670705098
3,18.8495559215388,9.86960440108936e-05,7.6654860747591e-06,3.45825559217975e-18,2.49843418964738e-22,1.54660835117904e-15,1.54660835117904,1.80701855443277e-15,1.80701855443277
4,25.1327412287183,9.86960440108936e-05,7.6654860747591e-06,3.45825559217975e-18,3.33124558619651e-22,1.33940212182622e-15,1.33940212182622,1.56492397324862e-15,1.56492397324862
5,31.4159265358979,9.86960440108936e-05,7.6654860747591e-06,3.45825559217975e-18,4.16405698274564e-22,1.19799767744435e-15,1.19799767744435,1.39971055352119e-15,1.39971055352119
6,37.6991118430775,9.86960440108936e-05,7.6654860747591e-06,3.45825559217975e-18,4.99686837929476e-22,1.09361725295845e-15,1.09361725295845,1.27775507356933e-15,1.27775507356933
7,43.9822971502571,9.86960440108936e-05,7.6654860747591e-06,3.45825559217975e-18,5.82967977584389e-22,1.01249283424697e-15,1.01249283424697,1.18297132969684e-15,1.18297132969684
8,50.2654824574367,9.86960440108936e-05,7.6654860747591e-06,3.45825559217975e-18,6.66249117239302e-22,9.47100323078967e-16,0.947100323078967,1.10656835352549e-15,1.10656835352549
9,56.5486677646163,9.86960440108936e-05,7.6654860747591e-06,3.45825559217975e-18,7.49530256894214e-22,8.92934747884144e-16,0.892934747884144,1.04328264883241e-15,1.04328264883241
10,62.8318530717959,9.86960440108936e-05,7.6654860747591e-06,3.45825559217975e-18,8.32811396549127e-22,8.47112281566634e-16,0.847112281566634,9.89744824093207e-16,0.989744824093207
11,69.1150383789754,9.86960440108936e-05,7.6654860747591e-06,3.45825559217975e-18,9.1609253620404e-22,8.07689869364264e-16,0.807689869364264,9.43684662672333e-16,0.943684662672333
12,75.398223686155,9.86960440108936e-05,7.6654860747591e-06,3.45825559217975e-18,9.99373675858953e-22,7.73304175589522e-16,0.773304175589522,9.03509277216387e-16,0.903509277216387
13,81.6814089933346,9.86960440108936e-05,7.6654860747591e-06,3.45825559217975e-18,1.08265481551387e-21,7.4296661980149e-16,0.74296661980149,8.68063635038572e-16,0.868063635038572
14,87.9645943005142,9.86960440108936e-05,7.6654860747591e-06,3.45825559217975e-18,1.16593595516878e-21,7.15940548998822e-16,0.715940548998822,8.36487049177901e-16,0.836487049177901
15,94.2477796076938,9.86960440108936e-05,7.6654860747591e-06,3.45825559217975e-18,1.24921709482369e-21,6.91664281561042e-16,0.691664281561042,8.08123264863017e-16,0.808123264863017
16,100.530964914873,9.86960440108936e-05,7.6654860747591e-06,3.45825559217975e-18,1.3324982344786e-21,6.69701060913108e-16,0.669701060913108,7.82461986624308e-16,0.782461986624308
17,106.814150222053,9.86960440108936e-05,7.6654860747591e-06,3.45825559217975e-18,1.41577937413352e-21,6.49705461584224e-16,0.649705461584224,7.59099627972389e-16,0.759099627972389
18,113.097335529233,9.86960440108936e-05,7.6654860747591e-06,3.45825559217975e-18,1.49906051378843e-21,6.31400215385978e-16,0.631400215385978,7.37712235683661e-16,0.737712235683661
19,119.380520836412,9.86960440108936e-05,7.6654860747591e-06,3.45825559217975e-18,1.58234165344334e-21,6.14559841453098e-16,0.614559841453098,7.18036363548933e-16,0.718036363548933
20,125.663706143592,9.86960440108936e-05,7.6654860747591e-06,3.45825559217975e-18,1.66562279309825e-21,5.98998838722174e-16,0.598998838722175,6.99855276760593e-16,0.699855276760593
21,131.946891450771,9.86960440108936e-05,7.6654860747591e-06,3.45825559217975e-18,1.74890393275317e-21,5.84563010405057e-16,0.584563010405057,6.82988815644079e-16,0.682988815644079
22,138.230076757951,9.86960440108936e-05,7.6654860747591e-06,3.45825559217975e-18,1.83218507240808e-21,5.71122983723148e-16,0.571122983723148,6.67285824277346e-16,0.667285824277346
23,144.51326206513,9.86960440108936e-05,7.6654860747591e-06,3.45825559217975e-18,1.91546621206299e-21,5.58569297238792e-16,0.558569297238792,6.52618410651609e-16,0.652618410651609
24,150.79644737231,9.86960440108936e-05,7.6654860747591e-06,3.45825559217975e-18,1.99874735171791e-21,5.46808626479223e-16,0.546808626479223,6.38877536784663e-16,0.638877536784664
25,157.07963267949,9.86960440108936e-05,7.6654860747591e-06,3.45825559217975e-18,2.08202849137282e-21,5.35760848730486e-16,0.535760848730486,6.25969589299446e-16,0.625969589299446
26,163.362817986669,9.86960440108936e-05,7.6654860747591e-06,3.45825559217975e-18,2.16530963102773e-21,5.25356735056881e-16,0.525356735056881,6.13813682837219e-16,0.613813682837219
27,169.646003293849,9.86960440108936e-05,7.6654860747591e-06,3.45825559217975e-18,2.24859077068264e-21,5.15536117059681e-16,0.515536117059681,6.02339518144258e-16,0.602339518144258
28,175.929188601028,9.86960440108936e-05,7.6654860747591e-06,3.45825559217975e-18,2.33187191033756e-21,5.06246417123486e-16,0.506246417123486,5.91485664848419e-16,0.591485664848419
29,182.212373908208,9.86960440108936e-05,7.6654860747591e-06,3.45825559217975e-18,2.41515304999247e-21,4.9744145993516e-16,0.49744145993516,5.81198172867555e-16,0.581198172867555
30,188.495559215388,9.86960440108936e-05,7.6654860747591e-06,3.45825559217975e-18,2.49843418964738e-21,4.89080503796334e-16,0.489080503796334,5.71429440619252e-16,0.571429440619252
