experiment,case_id,group,stage,model_type,priority,Rin_mm,L_mm,N_layers,t_ferrite_mm,g_radial_mm,T_ferrite_total_mm,T_space_mm,N_segments,circumferential_gap_mm,coverage_phi,segment_pattern,external_field_direction,coil_direction,what_to_export,status,notes
manufacturable_thin,M0_B0_x,main,reference,no_shield,1,100,200,0,0,0,0,0,0,0,0,none,x,,"B0_Bx_T;B0_By_T;B0_Bz_T;B0_Mag_T",planned,"B0 reference for transverse shielding"
manufacturable_thin,C1_N1_t008_x,main,screen_continuous,continuous_shell,1,100,200,1,0.08,0,0.08,0.08,0,0,1.00,none,x,x,"Bcenter_Bx_T;Bcenter_By_T;Bcenter_Bz_T;Bcenter_Mag_T;IntH2_total;IntH2_L1",planned,"minimum manufacturable single-layer baseline"
manufacturable_thin,C1_N1_t020_x,main,screen_continuous,continuous_shell,1,100,200,1,0.20,0,0.20,0.20,0,0,1.00,none,x,x,"Bcenter_Bx_T;Bcenter_By_T;Bcenter_Bz_T;Bcenter_Mag_T;IntH2_total;IntH2_L1",planned,"practical thin single-layer baseline"
manufacturable_thin,C1_N1_t040_x,main,screen_continuous,continuous_shell,1,100,200,1,0.40,0,0.40,0.40,0,0,1.00,none,x,x,"Bcenter_Bx_T;Bcenter_By_T;Bcenter_Bz_T;Bcenter_Mag_T;IntH2_total;IntH2_L1",planned,"mid-thickness single-layer baseline"
manufacturable_thin,C1_N1_t060_x,main,screen_continuous,continuous_shell,1,100,200,1,0.60,0,0.60,0.60,0,0,1.00,none,x,x,"Bcenter_Bx_T;Bcenter_By_T;Bcenter_Bz_T;Bcenter_Mag_T;IntH2_total;IntH2_L1",planned,"maximum manufacturable single-layer baseline"
manufacturable_thin,C2_N2_t020_g010_x,main,screen_continuous,continuous_shell,1,100,200,2,0.20,0.10,0.40,0.50,0,0,1.00,none,x,x,"Bcenter_Bx_T;Bcenter_By_T;Bcenter_Bz_T;Bcenter_Mag_T;IntH2_total;IntH2_L1;IntH2_L2",planned,"two-layer thin candidate"
manufacturable_thin,C2_N3_t020_g010_x,main,screen_continuous,continuous_shell,1,100,200,3,0.20,0.10,0.60,0.80,0,0,1.00,none,x,x,"Bcenter_Bx_T;Bcenter_By_T;Bcenter_Bz_T;Bcenter_Mag_T;IntH2_total;IntH2_L1;IntH2_L2;IntH2_L3",planned,"three-layer candidate; total ferrite thickness is 0.60 mm"
manufacturable_thin,C2_N4_t015_g008_x,main,screen_continuous,continuous_shell,1,100,200,4,0.15,0.08,0.60,0.84,0,0,1.00,none,x,x,"Bcenter_Bx_T;Bcenter_By_T;Bcenter_Bz_T;Bcenter_Mag_T;IntH2_total;IntH2_L1;IntH2_L2;IntH2_L3;IntH2_L4",planned,"four-layer same-material candidate"
manufacturable_thin,H_C2_N4_t015_g008_x_outer_amorphous_1wrap,hybrid_outer,hybrid_sf_noise,continuous_shell,1,100,200,4,0.15,0.08,0.60,0.84,0,0,1.00,none,x,x,"Bcenter_Bx_T;Bcenter_By_T;Bcenter_Bz_T;Bcenter_Mag_T;IntH2_total;IntH2_L1;IntH2_L2;IntH2_L3;IntH2_L4;IntH2_outer",planned,"hybrid candidate: baseline four-layer ferrite plus one outer amorphous wrap; compare SFx and IntH2 against C2_N4_t015_g008_x"
manufacturable_thin,H_C2_N4_t015_g008_x_outer_amorphous_2wrap,hybrid_outer,hybrid_sf_noise,continuous_shell,1,100,200,4,0.15,0.08,0.60,0.84,0,0,1.00,none,x,x,"Bcenter_Bx_T;Bcenter_By_T;Bcenter_Bz_T;Bcenter_Mag_T;IntH2_total;IntH2_L1;IntH2_L2;IntH2_L3;IntH2_L4;IntH2_outer",planned,"hybrid candidate: baseline four-layer ferrite plus two outer amorphous wraps; compare SFx and IntH2 against one-wrap case"
manufacturable_thin,H_C2_N4_t015_g008_x_outer_nanocrystalline_1wrap,hybrid_outer,hybrid_sf_noise,continuous_shell,1,100,200,4,0.15,0.08,0.60,0.84,0,0,1.00,none,x,x,"Bcenter_Bx_T;Bcenter_By_T;Bcenter_Bz_T;Bcenter_Mag_T;IntH2_total;IntH2_L1;IntH2_L2;IntH2_L3;IntH2_L4;IntH2_outer",planned,"hybrid candidate: baseline four-layer ferrite plus one outer nanocrystalline wrap; compare SFx and IntH2 against amorphous case"
manufacturable_thin,H_C2_N4_t015_g008_x_outer_nanocrystalline_2wrap,hybrid_outer,hybrid_sf_noise,continuous_shell,1,100,200,4,0.15,0.08,0.60,0.84,0,0,1.00,none,x,x,"Bcenter_Bx_T;Bcenter_By_T;Bcenter_Bz_T;Bcenter_Mag_T;IntH2_total;IntH2_L1;IntH2_L2;IntH2_L3;IntH2_L4;IntH2_outer",planned,"hybrid candidate: baseline four-layer ferrite plus two outer nanocrystalline wraps; compare SFx and IntH2 against one-wrap case"
manufacturable_thin,H_C2_N4_t015_g008_x_outer_nanocrystalline_1wrap_slit,hybrid_outer,hybrid_sf_noise_slit,segmented_shell_3d,2,100,200,4,0.15,0.08,0.60,0.84,1,1.6,0.99,axial_slit,x,x,"Bcenter_Bx_T;Bcenter_By_T;Bcenter_Bz_T;Bcenter_Mag_T;IntH2_total;IntH2_outer",planned,"hybrid manufacturable correction: one outer nanocrystalline wrap with one axial slit to reduce closed-loop eddy-current risk"
manufacturable_thin,C2_N6_t010_g008_x,optional,screen_continuous,continuous_shell,2,100,200,6,0.10,0.08,0.60,1.00,0,0,1.00,none,x,x,"Bcenter_Bx_T;Bcenter_By_T;Bcenter_Bz_T;Bcenter_Mag_T;IntH2_total;IntH2_L1;IntH2_L2;IntH2_L3;IntH2_L4;IntH2_L5;IntH2_L6",planned,"optional high-layer-count screen; do not use as main result unless exported"
manufacturable_thin,M0_B0_z,planned_extension,reference,no_shield,2,100,200,0,0,0,0,0,0,0,0,none,z,,"B0_Bx_T;B0_By_T;B0_Bz_T;B0_Mag_T",planned,"planned axial reference"
manufacturable_thin,C2_N3_t020_g010_z,planned_extension,screen_continuous,continuous_shell,2,100,200,3,0.20,0.10,0.60,0.80,0,0,1.00,none,z,z,"Bcenter_Bx_T;Bcenter_By_T;Bcenter_Bz_T;Bcenter_Mag_T;IntH2_total;IntH2_L1;IntH2_L2;IntH2_L3",planned,"planned axial-field extension"
manufacturable_thin,S2_N3_t020_g010_seg12_aligned_x,planned_segmentation,segmentation_check,segmented_shell_3d,2,100,200,3,0.20,0.10,0.60,0.80,12,1.6,0.95,aligned,x,x,"Bcenter_Bx_T;Bcenter_By_T;Bcenter_Bz_T;Bcenter_Mag_T;IntH2_total",planned,"planned aligned-slot segmented correction"
