Variation,T,a,g,IntH2_total: None
1,1.2mm,0.5mm,0.2mm,2.3019731e-17
2,1.5mm,0.5mm,0.5mm,2.3254273e-17
3,2mm,0.5mm,1mm,2.3373486e-17
4,2.5mm,0.5mm,1.5mm,2.3523894e-17
5,2.2mm,1mm,0.2mm,1.3426123e-17
6,2.5mm,1mm,0.5mm,1.3427694e-17
7,3mm,1mm,1mm,1.3578801e-17
8,3.5mm,1mm,1.5mm,1.3618107e-17
9,3.2mm,1.5mm,0.2mm,9.3875559e-18
10,3.5mm,1.5mm,0.5mm,9.5222597e-18
11,4mm,1.5mm,1mm,9.6551165e-18
12,4.5mm,1.5mm,1.5mm,9.7463481e-18
13,4.2mm,2mm,0.2mm,7.3301256e-18
14,4.5mm,2mm,0.5mm,7.4023764e-18
15,5mm,2mm,1mm,7.4243544e-18
16,5.5mm,2mm,1.5mm,7.5820466e-18
